product_id,product_name,brand,category,price,original_price,sizes,colors,image_urls,product_url,description
017321412662000457,ĐẦM LỤA HOẠ TIẾT D01732,NEM,Đầm,"1,399,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08', 'Size\xa010']",['Hỗn hợp'],"['https://cdn.hstatic.net/products/200000182297/1.6_00e65ec2101045cba58e86e9fd75b513_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d017321412662000457p1399dt__4__32a951bbce484afcb76757475991495c_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d017321412662000457p1399dt__8__017a99a32c5a4ab5947a6fa1d19d17eb_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d017321412662000457p1399dt__5__055f279fda604127abd50010c0ee7dae_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d017321412662000457p1399dt__6__9a6db86b387b429db889c57bdba6463c_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d017321412662000457p1399dt__7__3ef98cc44d004e64a14cc2c2fe429cc0_master.jpg']",https://nemshop.vn/products/dam-coc-tay-48000,"hất liệu:
vải lụa
Kiểu dáng:
đầm thiết kế dáng ôm nhẹ, dài qua gối giúp định hình phom dáng cơ thể hiệu quả, kết hợp chi tiết xẻ sau giúp người mặc dễ dàng di chuyển. Đầm sử dụng tone màu xanh than phối hoạ tiết hoa lá in nổi bật, kết hợp chi tiết nhún eo tạo điểm nhấn
Sản phẩm thuộc dòng sản phẩm:
NEM NEW"
011721412662030401,ĐẦM TRẮNG PHỐI VIỀN ĐEN D01172,NEM,Đầm,"1,399,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08']",['Trắng'],"['https://cdn.hstatic.net/products/200000182297/1.7_cdb328ffe7d646b3973f4fe29a3ad706_master.jpg', 'https://cdn.hstatic.net/products/200000182297/1.6_52c79b4f6e274988b649cce506623734_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d011721412662030401p1399dt__6__fee64b723c17486d80e0387530977baa_master.jpg', 'https://cdn.hstatic.net/products/200000182297/1.7_11daae545580482aa76909fa41a497ac_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d011721412662030401p1399dt__8__6b27565ee5e64ca7aba01d21696f476c_master.jpg']",https://nemshop.vn/products/dam-coc-tay-48006,"Chất liệu:
vải thô
Kiểu dáng:
đầm thiết kế dáng chữ A xoè nhẹ tạo sự thướt tha, uyển chuyển trong từng bước đi. Đầm sử dụng tone màu trắng phôi viền đen nỏi bật
Sản phẩm thuộc dòng sản phẩm:
NEM Office"
011021412662020401,ĐẦM XẾP LI THÊU HOA D01102,NEM,Đầm,"1,599,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08', 'Size\xa010']",['Hồng'],"['https://cdn.hstatic.net/products/200000182297/1.3_96766ee023cc474ba1fee5c36470255d_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d011021412662020401p1599dt__5__c07abc458c684d0d807f86555a0a86c8_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d011021412662020401p1599dt__2__bb12d2c372b04c748ff366e16c0f8336_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d011021412662020401p1599dt__3__9e1495dd33644807844c56f576e50b9d_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d011021412662020401p1599dt__4__20f77846123842f19b8fe3bc43b16b34_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d011021412662020401p1599dt__8__dee48b74574449688ff419b96d9d6233_master.jpg']",https://nemshop.vn/products/dam-coc-tay-48002,"Chất liệu:
vải tổng hợp cao cấp
Kiểu dáng:
đầm thiết kế xếp li dáng chữ A xoè nhẹ tạo sự thướt tha, uyển chuyển trong từng bước đi. Đầm sử dụng tone màu hồng kết hợp hoạ tiết hoa thêu phía trước tạo điểm nhấn
Sản phẩm thuộc dòng sản phẩm:
NEM Office"
010521412662060458,ĐẦM LIỀN THIẾT KẾ D01052,NEM,Đầm,"1,599,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08', 'Size\xa010']",['Xanh'],"['https://cdn.hstatic.net/products/200000182297/1.2_9dfd59d3590a43a4b180c90e748f888b_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d010521412662060458p1599dt__1__201745ec6b4b4f5d9d87490be2710bb6_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d010521412662060458p1599dt__6__799297cafc394c7e93a2f779780731f7_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d010521412662060458p1599dt__2__7ffd8c16fa7943a0808a760356108074_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d010521412662060458p1599dt__5__9b9ab42a50914001bc96116448162bb7_master.jpg']",https://nemshop.vn/products/dam-coc-tay-48008,"Chất liệu:
vải thô pha tơ
Kiểu dáng:
đầm thiết kế dáng chữ A xoè nhẹ tạo sự thướt tha, uyển chuyển trong từng bước đi. Đầm sử dụng tone màu xanh than phối khuy bọc phía trước
Sản phẩm thuộc dòng sản phẩm:
NEM Office"
107421412662400457,ĐẦM HOA TÍM D10742,NEM,Đầm,"1,399,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08', 'Size\xa010']",['Hỗn hợp'],"['https://cdn.hstatic.net/products/200000182297/1.7_cf35aafa3713488ea735018d7c14f5ba_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d107421412662400457p1399dt__8__e6549d5372174f198a2aa12caaff6f8a_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d107421412662400457p1399dt__5__3c9a8a0808f54275a9edcd01aad6ed1f_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d107421412662400457p1399dt__7__9038e80a3f0b47cdba10c92ba4646ebf_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d107421412662400457p1399dt__6__ec100fd335f648e6bbf540512f2c95bd_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d107421412662400457p1399dt__4__8668486656424c52be983b6f4156d68b_master.jpg']",https://nemshop.vn/products/dam-coc-tay-47930,"Chất liệu:
vải voan
Kiểu dáng:
đầm thiết kế dáng chữ A xoè nhẹ tạo sự thướt tha, uyển chuyển trong từng bước đi. Đầm sử dụng tone màu tím nhạt phối hoạ tiết hoa in nữ tính, phần cổ nhọn tạo điểm nhấn
Sản phẩm thuộc dòng sản phẩm:
NEM NEW"
015321402662140457,ĐẦM SUÔNG 2 DÂY D01532,NEM,Đầm,"1,399,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08']",[''],"['https://cdn.hstatic.net/products/200000182297/1.7_e86125adbf494bdb832933b83e3dfda1_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d015321402662140457p1399dt_sm016621222662440410p899dt__5__98616ed30fac4ea7a17c8516659c5fff_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d015321402662140457p1399dt_sm016621222662440410p899dt__1__da8c795329bb46f3a1fd9ef7ea5f1ccb_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d015321402662140457p1399dt_sm016621222662440410p899dt__4__6a6d75b124574433a1e552272ef764d7_master.jpg']",https://nemshop.vn/products/dam-khong-tay-13037,"Chất liệu:
vải thô
Kiểu dáng:
đầm 2 dây thiết kế dáng suông xoè nhẹ tạo sự thoái mải cho người mặc. Đầm sử dụng tone màu be trơn mang tới sự thanh lịch cho người mặc
Sản phẩm thuộc dòng sản phẩm:
CASUAL
Sản phẩm kết hợp:
áo SM01662"
015221402662160457,ĐẦM SUÔNG 2 DÂY D01522,NEM,Đầm,"1,399,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08']",['Xanh'],"['https://cdn.hstatic.net/products/200000182297/1.8_ba137cbcc84a4797bb14fe41e54eae64_master.jpg', 'https://cdn.hstatic.net/products/200000182297/1.9_0da03ed5ef4b4af0865759443148fcbc_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d015221402662160457p1399dt__2__53dc30d848984fc691d4b191789ca309_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d015221402662160457p1399dt__6__5e66a23a1ba54b66b706af74761ff228_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d015221402662160457p1399dt__7__c3cc37d6593e4239b46ee953b67d862a_master.jpg']",https://nemshop.vn/products/dam-khong-tay-13042,"Chất liệu:
vải thô
Kiểu dáng:
đầm 2 dây thiết kế dáng suông xoè nhẹ tạo sự thoái mải cho người mặc. Đầm sử dụng tone màu xanh than trơn,dễ dàng kết hợp với các tone màu khác
Sản phẩm thuộc dòng sản phẩm:
CASUAL
Lưu ý:
sản phẩm không bao gồm áo trắng bên trong"
012521412662460474,ĐẦM THIẾT KẾ D01252,NEM,Đầm,"1,399,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08']",['Xanh'],"['https://cdn.hstatic.net/products/200000182297/d012521412662460474p1399dt__1__53ac3686e8ee4239a20a678836e0041a_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d012521412662460474p1399dt__5__74be6b5310e54a52a54ce1c0df6c2b18_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d012521412662460474p1399dt__3__e9eb77b6fe324fddb6ba0ee6b7f0948a_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d012521412662460474p1399dt__2__39e35b9c1d974f8ca135cdb91f2d89b1_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d012521412662460474p1399dt__4__f99dacec23d44a228ab2e526ff770666_master.jpg']",https://nemshop.vn/products/dam-coc-tay-48014,"Chất liệu:
vải thun pha thô
Kiểu dáng:
đầm thiết kế dáng suông xoè nhẹ tạo sự thoái mải cho người mặc. Đầm sử dụng tone màu xanh than phối hoạ tiết kẻ ngang, mang tới tính sự trẻ trung cho người mặc
Sản phẩm thuộc dòng sản phẩm:
CASUAL"
012421412662440474,ĐẦM THIẾT KẾ D01232,NEM,Đầm,"1,399,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08']",['Nâu'],"['https://cdn.hstatic.net/products/200000182297/1.4_ee5f08cda46f4f9eb7f37ef6eb55feb4_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d012421412662440474p1399dt__5__e4879dd0863545c08cfb608ef8fe9819_master.jpg', 'https://cdn.hstatic.net/products/200000182297/1.9_9d92d36641aa4cee9565bf7289526bc4_master.jpg', 'https://cdn.hstatic.net/products/200000182297/d012421412662440474p1399dt__1__90bf33597a2e498e98cabbe26b4540a2_master.jpg']",https://nemshop.vn/products/dam-coc-tay-48018,"Chất liệu:
vải thun pha thô
Kiểu dáng:
đầm thiết kế dáng suông xoè nhẹ tạo sự thoái mải cho người mặc. Đầm sử dụng tone màu nâu be hiện đại, mang tới tính ứng dụng cao
Sản phẩm thuộc dòng sản phẩm:
CASUAL"
012321412662480474,ĐẦM THIẾT KẾ D01232,NEM,Đầm,"1,399,000₫",,"['Size\xa04', 'Size\xa06', 'Size\xa08']",['Xám'],"['https://cdn.hstatic.net/products/200000182297/1.2_9e694878c3824f418b317e77db277e23_master.jpg', 'https://cdn.hstatic.net/products/200000182297/1.7_71f6e246bbb540f28d595e608529beb9_master.jpg', 'https://cdn.hstatic.net/products/200000182297/1.6_1ba271c2fd2743b59d59fcf57cc240fb_master.jpg', 'https://cdn.hstatic.net/products/200000182297/1.3_ecb249c41078413ab41eae05aa799ced_master.jpg', 'https://cdn.hstatic.net/products/200000182297/1.8_a134039aa1d046ca85b78af0d48e62cd_master.jpg']",https://nemshop.vn/products/dam-coc-tay-47991,"Chất liệu:
vải thun pha thô
Kiểu dáng:
đầm thiết kế dáng suông xoè nhẹ tạo sự thoái mải cho người mặc. Đầm sử dụng tone màu xám đậm mang tới tính  ứng dụng cao
Sản phẩm thuộc dòng sản phẩm:
CASUAL"
